"title","link"
"Guheswori Merchant Banking and Finance celebrates 19th anniversary; supports Chhetrapati based hospital and Bungamati based NGO under its social service initiative","https://www.sharesansar.com/newsdetail/guheswori-merchant-banking-and-finance-celebrates-19th-anniversary-supports-chhetrapati-based-hospital-and-bungamati-based-ngo-under-its-social-service-initiative-2021-06-14"
"Shikhar Insurance (SICL) and Excel Development Bank (EDBL) Propose to Issue 30% Right Shares","https://www.sharesansar.com/newsdetail/shikhar-insurance-sicl-and-excel-development-bank-edbl-propose-to-issue-30-right-shares-2021-06-13"
"SPARS Shares Deposited to Demat Accounts As Shares of Global IME Laghubitta","https://www.sharesansar.com/newsdetail/spars-shares-deposited-to-demat-accounts-as-shares-of-global-ime-laghubitta-2021-06-13"
"Manipulators Found to Inflate Stock Price in NEPSE by Creating Artificial Orders; Regulator Fights Back With a Tweak","https://www.sharesansar.com/newsdetail/manipulators-found-to-inflate-stock-price-in-nepse-by-creating-artificial-orders-regulator-fights-back-with-a-tweak-2021-06-13"
"Rastriya Banijya Bank receives warm response for its 2.50 arba worth debenture; bank thanks all investors for trusting its credibility","https://www.sharesansar.com/newsdetail/rastriya-banijya-bank-receives-warm-response-for-its-250-arba-worth-debenture-bank-thanks-all-investors-for-trusting-its-credibility-2021-06-13"
"Siddhartha Insurance convenes its 19th AGM; endorses 15.74% dividend to its shareholders","https://www.sharesansar.com/newsdetail/siddhartha-insurance-convenes-its-19th-agm-endorses-1574-dividend-to-its-shareholders-2021-06-13"
"Families await support amidst loss of large scale jobs and income sources, survey reveals","https://www.sharesansar.com/newsdetail/families-await-support-amidst-loss-of-large-scale-jobs-and-income-sources-survey-reveals-2021-06-13"
"Chhimek Laghubitta supports Kathmandu Traffic Police with health types of equipment; aims to prevent spread of COVID 19 among traffic officers","https://www.sharesansar.com/newsdetail/chhimek-laghubitta-supports-kathmandu-traffic-police-with-health-types-of-equipment-aims-to-prevent-spread-of-covid-19-among-traffic-officers-2021-06-13"
"Kathmandu Marriott Provides Relief to students of Chakra Smriti Pathshala","https://www.sharesansar.com/newsdetail/kathmandu-marriott-provides-relief-to-students-of-chakra-smriti-pathshala-2021-06-13"
"Everest Bank provides financial support of Rs 5 lakhs to Nagarik care Centre in Biratnagar; aims to support centerâ€™s fight against COVID infection","https://www.sharesansar.com/newsdetail/everest-bank-provides-financial-support-of-rs-5-lakhs-to-nagarik-care-centre-in-biratnagar-aims-to-support-centers-fight-against-covid-infection-2021-06-13"